ind1,ind2,SRI.observed,year,dyad
ind31,ind67,0.006811989,2011,ind31_ind67
ind32,ind67,0,2011,ind32_ind67
ind33,ind67,0.246636771,2011,ind33_ind67
ind34,ind67,0.131637996,2011,ind34_ind67
ind35,ind67,0.27886057,2011,ind35_ind67
ind36,ind67,0.000749064,2011,ind36_ind67
ind37,ind67,0.005552128,2011,ind37_ind67
ind38,ind67,0.06496063,2011,ind38_ind67
ind39,ind67,0.224870466,2011,ind39_ind67
ind40,ind67,0.004736842,2011,ind40_ind67
ind41,ind67,0.264150943,2011,ind41_ind67
ind42,ind67,0.001507159,2011,ind42_ind67
ind43,ind67,0.067361111,2011,ind43_ind67
ind44,ind67,0.091080402,2011,ind44_ind67
ind45,ind67,0.094313454,2011,ind45_ind67
ind46,ind67,0,2011,ind46_ind67
ind47,ind67,0.218365062,2011,ind47_ind67
ind48,ind67,0.16737109,2011,ind48_ind67
ind49,ind67,0.248,2011,ind49_ind67
ind50,ind67,0.007589025,2011,ind50_ind67
ind51,ind67,0.081128748,2011,ind51_ind67
ind52,ind67,0,2011,ind52_ind67
ind53,ind67,0.04138322,2011,ind53_ind67
ind54,ind67,0.014211886,2011,ind54_ind67
ind55,ind67,0.32674772,2011,ind55_ind67
ind56,ind67,0.218367347,2011,ind56_ind67
ind57,ind67,0.311141304,2011,ind57_ind67
ind58,ind67,0.274410774,2011,ind58_ind67
ind59,ind67,0.095465394,2011,ind59_ind67
ind60,ind67,0.297577855,2011,ind60_ind67
ind61,ind67,0,2011,ind61_ind67
ind63,ind67,0.042754026,2011,ind63_ind67
ind64,ind67,0,2011,ind64_ind67
ind65,ind67,0.00990099,2011,ind65_ind67
ind66,ind67,0.253012048,2011,ind66_ind67
