Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind6_Ind31,0.0324412,0.039082159,0.58183853
2017,Ind3_Ind31,0.045279742,0.053017902,0.569442582
2017,Ind31_Ind9,0.035449299,0.04888276,0.589778437
2017,Ind31_Ind7,0.037046339,0.043865609,0.590501439
2017,Ind2_Ind31,0.033495033,0.039093704,0.579833864
2017,Ind4_Ind31,0.03757515,0.048234242,0.570723203
2017,Ind8_Ind31,0.043783957,0.053820368,0.592437865
2017,Ind10_Ind31,0.180415985,0.051785238,0.847762132
2017,Ind19_Ind31,0.087343096,0.046045577,0.77861437
2017,Ind14_Ind31,0.148388708,0.029688301,0.907313028
2017,Ind22_Ind31,0.374943156,0.047592949,0.933056539
2017,Ind31_Ind12,0.178695007,0.034450667,0.856255465
2017,Ind15_Ind31,0.163000978,0.041183729,0.886306435
2017,Ind34_Ind31,0.233929048,0.050863885,0.919752198
2017,Ind20_Ind31,0.100599101,0.048222729,0.79570773
2017,Ind24_Ind31,0.466307858,0.046550465,0.971448691
2017,Ind25_Ind31,0.468174204,0.047408823,0.975502113
2017,Ind31_Ind23,0.37144169,0.054090549,0.942797256
2017,Ind11_Ind31,0.182341651,0.050221802,0.819927653
2017,Ind31_Ind28,0.473043086,0.035440386,0.967288024
2017,Ind30_Ind31,0.521335807,0.052168101,0.965953211
2017,Ind31_Ind13,0.487799564,0.052587234,0.965821665
2017,Ind31_Ind26,0.440696409,0.035533708,0.949189014
2017,Ind35_Ind31,0.26319937,0.049167388,0.938726494
2017,Ind27_Ind31,0.417067033,0.047313653,0.956466932
2017,Ind16_Ind31,0.147922047,0.042785699,0.860035612
2017,Ind1_Ind17,0.016204425,0.062386087,0.564593805
2017,Ind17_Ind5,0.018576878,0.281429298,0.572512473
2017,Ind6_Ind17,0.017292413,0.284540614,0.565784647
2017,Ind3_Ind17,0.024923703,0.067164042,0.553572783
2017,Ind17_Ind9,0.01656478,0.123679802,0.564951375
2017,Ind17_Ind7,0.01925078,0.130798307,0.572861847
